TOTAL_MISSING	417
27	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\Module3ViewModelTests_Additional.cs
19	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\SampleCollectionViewModelTests.cs
16	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests.cs
16	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\ExternalLabServiceTests.cs
15	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\ContractInvoiceServiceTests.cs
14	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\WorksheetViewModelTests.cs
14	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\AttendanceLogViewModelTests.cs
14	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\AdditionalFunctionalityTests.cs
12	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\CultureSensitivityServiceTests.cs
12	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\SampleCollectionServiceTests.cs
12	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\PhysicianServiceTests.cs
11	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\TestCatalogViewModelTests.cs
11	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\ResultsEntryViewModelTests.cs
11	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\SettingsServiceTests.cs
11	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\StatisticsServiceTests.cs
11	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\BackupRestoreViewModelTests.cs
9	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\GroupWorksheetViewModelTests.cs
9	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\ResultsServiceTests.cs
9	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\FunctionCoverageGapTests.cs
8	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\PasswordSecurityTests.cs
8	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\StatisticsViewModelTests.cs
7	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\RelayCommandTests.cs
7	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\ContractInvoiceViewModelTests.cs
7	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\CultureSensitivityViewModelTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\AttendanceReportViewModelTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\CompareWithHistoryViewModelTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\PhysicianViewModelTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\WorksheetServiceTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\AppSessionTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\SampleTrackingServiceTests.cs
6	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\GroupWorksheetServiceTests.cs
5	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\SystemSettingsViewModelTests.cs
5	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\SystemSettingsServiceTests.cs
5	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\BackupRestoreServiceTests.cs
5	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\VisitServiceTests.cs
5	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\ReferralsViewModelTests.cs
4	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Integration\FullReauditIntegrationTests.cs
4	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\CombinedReportViewModelTests.cs
4	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\SettingsViewModelTests.cs
4	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\BaseViewModelTests.cs
4	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\DocumentationFunctionCoverageTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\WorkSheetByPatientViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\TestCommentsViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\ReportViewerViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\WorkSheetByTestViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\MainViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\CustomGroupsViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\BlankReportViewModelTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TardinessServiceTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestClassificationServiceTests.cs
3	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\ReferenceRangesViewModelTests.cs
2	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\PrintServiceTests.cs
2	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\AttendancePayrollReportServiceTests.cs
2	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\TestClassificationLogViewModelTests.cs
2	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\PriceListsViewModelTests.cs
1	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\ReportServiceTests.cs
1	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UnitTestCoverageEnforcementTests.cs
