RecordAttendance_ShouldPersistLogInDatabase	RecordAttendance_WithValidUser_ShouldPersistLogInDatabase	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\AttendanceServiceTests.cs
UserProductivityReport_ShouldReturnRowsOrderedByCompletedTestsDescending	UserProductivityReport_WhenLoaded_ShouldReturnRowsOrderedByCompletedTestsDescending	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
GetSnapshotAsync_ShouldCalculateTotalPatientsAndVisitsSeparately	GetSnapshotAsync_WhenCalled_ShouldCalculateTotalPatientsAndVisitsSeparately	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
GetReferralsAsync_ShouldReturnAllReferralsOrderedByName	GetReferralsAsync_WhenCalled_ShouldReturnAllReferralsOrderedByName	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
SampleCountPerYear_ShouldReturnRowsOrderedByYearAscending	SampleCountPerYear_WhenLoaded_ShouldReturnRowsOrderedByYearAscending	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
TestDemandAnalysis_ShouldCalculateTotalRevenuePerTest	TestDemandAnalysis_WhenLoaded_ShouldCalculateTotalRevenuePerTest	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
PatientCountByMonth_ShouldIncludeArabicMonthNames	PatientCountByMonth_WhenLoaded_ShouldIncludeArabicMonthNames	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\Module9ServiceTests_Additional.cs
CreateTestCommentAsync_ShouldTrimWhitespace	CreateTestCommentAsync_WithWhitespaceInput_ShouldTrimWhitespace	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
CreateTestGroupAsync_ShouldCreateGroup	CreateTestGroupAsync_WithValidData_ShouldCreateGroup	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
GetUnitsAsync_ShouldReturnOrderedUnits	GetUnitsAsync_WhenCalled_ShouldReturnOrderedUnits	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
UpdateReferenceRangeAsync_ShouldPersistChanges	UpdateReferenceRangeAsync_WithValidRange_ShouldPersistChanges	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
